time,symbol,side,factor,value,ret
1775204763.1058748,BRUSDT,LONG,hf_lob_z2,0.0,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,hf_fast_boost,-0.0598,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,hf_timing_score,0.9551,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,hf_microprice,0.9183,0.7024938531787073
1775204763.5787776,MASKUSDT,LONG,volume_zscore,0.9499071590119582,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,oi_change_pct,-0.2636524144360056,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,ret_1m,0.4223336558958748,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,ret_5m,1.157116530249259,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,funding_rate,0.19441865245817505,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,ret_24h,0.6703333785465826,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,raw_total,0.4712727338627526,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,normalized_total,1.3044433516731044,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,hf_ofi,-0.0029,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,hf_lob_pc1,0.0,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,hf_lob_z1,0.0,-1.5425297487879648
1775204763.5787776,MASKUSDT,LONG,hf_lob_z2,0.0,-1.5425297487879648
